차량명,가격(만원),연식,주행거리(km),연료,변속기,색상,사고이력,주요옵션,보증,시세_평균(만원),시세_최저(만원),시세_최고(만원)
BMW 5시리즈 (G30) 530e 럭셔리,3350.0,202011.0,91528.0,가솔린+전기,,,조회실패,,,3686,1990.0,5700.0
현대 코나 일렉트릭 프리미엄,1995.0,201904.0,69550.0,전기,,,조회실패,,,1716,1120.0,2470.0
테슬라 모델 Y 퍼포먼스 AWD,4999.0,202209.0,24932.0,전기,,,조회실패,,,4218,3180.0,6690.0
현대 아이오닉6 롱레인지,3330.0,202209.0,23791.0,전기,,,조회실패,,,3097,37.0,4000.0
쉐보레(GM대우) 올란도 LPG LT,400.0,201110.0,146675.0,LPG(일반인 구입),,,조회실패,,,498,240.0,880.0
쉐보레(GM대우) 어메이징 뉴 크루즈 2.0 디젤 LTZ,299.0,201510.0,146459.0,디젤,,,조회실패,,,396,170.0,650.0
기아 셀토스 디젤 1.6 2WD,1320.0,201909.0,139912.0,디젤,,,조회실패,,,1988,1320.0,2520.0
마세라티 르반떼 3.0 디젤 AWD 그란스포츠,3400.0,201912.0,68798.0,디젤,,,조회실패,,,3889,1900.0,6150.0
KG모빌리티(쌍용) 더 뉴 코란도 스포츠 2.2 CX7 4WD,1190.0,201712.0,66331.0,디젤,,,조회실패,,,929,590.0,1190.0
기아 더 뉴 쏘렌토 디젤 2.0 2WD,2170.0,201808.0,84570.0,디젤,,,조회실패,,,1906,1350.0,2570.0
제네시스 G80 3.3 GDI AWD,2400.0,201801.0,80254.0,가솔린,,,조회실패,,,1818,790.0,2699.0
기아 K5 하이브리드 3세대 시그니처,1890.0,202107.0,118076.0,가솔린+전기,,,조회실패,,,2271,1740.0,3150.0
쉐보레(GM대우) 더 뉴 스파크 프리미어,899.0,202007.0,45422.0,가솔린,,,조회실패,,,824,619.0,1209.0
기아 K5 3세대 2.0 LPI(렌터카용),1690.0,202007.0,58132.0,LPG(일반인 구입),,,조회실패,,,2044,1369.0,2480.0
기아 카니발 4세대 가솔린 9인승 하이리무진,3320.0,202104.0,95833.0,가솔린,,,조회실패,,,2807,1750.0,4140.0
기아 올 뉴 K7 2.4 GDI 리미티드 에디션,1130.0,201701.0,157856.0,가솔린,,,조회실패,,,1300,650.0,2150.0
기아 모닝 어반 (JA) 프레스티지,1190.0,202007.0,38793.0,가솔린,,,조회실패,,,1219,739.0,1640.0
기아 더 뉴 K3 2세대 1.6,1730.0,202204.0,26949.0,가솔린,,,조회실패,,,1855,1259.0,2550.0
기아 더 뉴 레이 밴,890.0,202002.0,66823.0,가솔린,,,조회실패,,,1021,620.0,1530.0
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD,2340.0,202402.0,36018.0,가솔린,,,조회실패,,,2244,1690.0,2830.0
현대 싼타페 TM 디젤 2.0 2WD,2230.0,201906.0,52933.0,디젤,,,조회실패,,,1970,1500.0,2590.0
현대 투싼 (NX4) 가솔린 1.6 터보 2WD,2580.0,202101.0,31618.0,가솔린,,,조회실패,,,2438,1860.0,2890.0
현대 더 뉴 투싼 (NX4) 가솔린 1.6 터보 2WD,2980.0,202410.0,6781.0,가솔린,,,조회실패,,,3010,468.0,9999.0
기아 올 뉴 모닝 디럭스,480.0,201207.0,105175.0,가솔린,,,조회실패,,,426,250.0,589.0
기아 쏘렌토 4세대 디젤 2.2 2WD,2200.0,202007.0,137919.0,디젤,,,조회실패,,,2924,2060.0,3789.0
기아 더 뉴 모닝 럭셔리,730.0,201611.0,55045.0,가솔린,,,조회실패,,,536,340.0,750.0
현대 더 뉴 맥스크루즈 디젤 2.2 2WD,1280.0,201703.0,148192.0,디젤,,,조회실패,,,1601,949.0,4999.0
현대 그랜저 하이브리드 (GN7) 캘리그래피,3960.0,202307.0,53501.0,가솔린+전기,,,조회실패,,,4007,3070.0,9999.0
기아 올 뉴 모닝 디럭스 스페셜,430.0,201203.0,105492.0,가솔린,,,조회실패,,,426,250.0,589.0
쉐보레(GM대우) 더 뉴 스파크 프리미어,899.0,202007.0,45422.0,가솔린,,,조회실패,,,824,619.0,1209.0
기아 K5 3세대 2.0 LPI(렌터카용),1690.0,202007.0,58132.0,LPG(일반인 구입),,,조회실패,,,2044,1369.0,2480.0
기아 카니발 4세대 가솔린 9인승 하이리무진,3320.0,202104.0,95833.0,가솔린,,,조회실패,,,2807,1750.0,4140.0
기아 올 뉴 K7 2.4 GDI 리미티드 에디션,1130.0,201701.0,157856.0,가솔린,,,조회실패,,,1300,650.0,2150.0
기아 모닝 어반 (JA) 프레스티지,1190.0,202007.0,38793.0,가솔린,,,조회실패,,,1219,739.0,1640.0
기아 더 뉴 K3 2세대 1.6,1730.0,202204.0,26949.0,가솔린,,,조회실패,,,1855,1259.0,2550.0
기아 더 뉴 레이 밴,890.0,202002.0,66823.0,가솔린,,,조회실패,,,1021,620.0,1530.0
기아 더 뉴 기아 레이 프레스티지,1590.0,202309.0,21361.0,가솔린,,,조회실패,,,1492,297.0,2050.0
제네시스 G70 3.3T 스포츠 AWD,2290.0,201902.0,99278.0,가솔린,,,조회실패,,,2127,1450.0,2850.0
기아 더 뉴 모하비 디젤 3.0 4WD,1590.0,201705.0,149309.0,디젤,,,조회실패,,,1580,1049.0,2430.0
기아 더 뉴 레이 럭셔리,1190.0,201810.0,67220.0,가솔린,,,조회실패,,,1021,620.0,1530.0
기아 더 뉴 레이 시그니처,1190.0,202007.0,97348.0,가솔린,,,조회실패,,,1021,620.0,1530.0
기아 더 뉴 레이 프레스티지,1190.0,202010.0,60812.0,가솔린,,,조회실패,,,1021,620.0,1530.0
현대 그랜저 하이브리드 (GN7) 익스클루시브,4999.0,202303.0,70742.0,가솔린+전기,,,조회실패,,,4007,3070.0,9999.0
현대 그랜저 하이브리드 (GN7) 익스클루시브,3070.0,202302.0,108547.0,가솔린+전기,,,조회실패,,,4007,3070.0,9999.0
기아 더 뉴 기아 레이 프레스티지,1420.0,202304.0,83824.0,가솔린,,,조회실패,,,1492,297.0,2050.0
기아 올 뉴 카니발 7인승 리무진,1630.0,201509.0,85815.0,디젤,,,조회실패,,,1242,599.0,1800.0
기아 올 뉴 K7 2.4 GDI 리미티드 에디션,1130.0,201701.0,157856.0,가솔린,,,조회실패,,,1300,650.0,2150.0
제네시스 G80 3.3 GDI AWD,2390.0,201711.0,86733.0,가솔린,,,조회실패,,,1818,790.0,2699.0
벤츠 GLA-클래스 X156 GLA220,1520.0,201710.0,83142.0,가솔린,,,조회실패,,,1691,860.0,2350.0
기아 모닝 어반 (JA) 프레스티지,1190.0,202007.0,38793.0,가솔린,,,조회실패,,,1219,739.0,1640.0
기아 더 뉴 레이 밴,890.0,202002.0,66823.0,가솔린,,,조회실패,,,1021,620.0,1530.0
기아 더 뉴 기아 레이 프레스티지,1590.0,202309.0,21361.0,가솔린,,,조회실패,,,1492,297.0,2050.0
제네시스 G70 3.3T 스포츠 AWD,2290.0,201902.0,99278.0,가솔린,,,조회실패,,,2127,1450.0,2850.0
기아 더 뉴 모하비 디젤 3.0 4WD,1590.0,201705.0,149309.0,디젤,,,조회실패,,,1580,1049.0,2430.0
기아 올 뉴 K7 3.0 LPI 럭셔리 (렌터카),1390.0,201805.0,121495.0,LPG(일반인 구입),,,조회실패,,,1300,650.0,2150.0
쉐보레(GM대우) 콜로라도 3.6 익스트림 2WD,2090.0,201911.0,31226.0,가솔린,,,조회실패,,,2299,1650.0,3333.0
기아 더 뉴 기아 레이 프레스티지,1590.0,202406.0,39621.0,가솔린,,,조회실패,,,1492,297.0,2050.0
기아 더 뉴 레이 프레스티지,1390.0,201904.0,24244.0,가솔린,,,조회실패,,,1021,620.0,1530.0
기아 더 뉴 기아 레이 시그니처,1690.0,202307.0,44030.0,가솔린,,,조회실패,,,1492,297.0,2050.0
