차량명,가격(만원),연식,주행거리(km),연료,변속기,색상,사고이력,주요옵션,보증,시세_평균(만원),시세_최저(만원),시세_최고(만원)
벤츠 GLB-클래스 X247 GLB250 4MATIC,3120.0,202104.0,95122.0,가솔린,,,조회실패,,,4138,3050.0,9990.0
현대 아이오닉 일렉트릭 Q,1000.0,201607.0,132308.0,전기,,,조회실패,,,1147,890.0,1650.0
기아 카니발 4세대 9인승 프레스티지,2500.0,202102.0,95974.0,디젤,,,조회실패,,,2807,1750.0,4140.0
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 칸 디젤 2.2 4WD,2530.0,202302.0,67335.0,디젤,,,조회실패,,,2796,1890.0,7777.0
기아 스포티지 R 가솔린 터보 GDI 2WD TLX,750.0,201111.0,119713.0,가솔린,,,조회실패,,,642,370.0,950.0
볼보 XC40 B4 인스크립션,3000.0,202106.0,84330.0,가솔린,,,조회실패,,,3443,1650.0,4500.0
KG모빌리티(쌍용) 올 뉴 렉스턴 디젤 2.2 4WD,3100.0,202109.0,30962.0,디젤,,,조회실패,,,2824,1650.0,3550.0
현대 그랜저 IG 2.4 프리미엄,1320.0,201705.0,139841.0,가솔린,,,조회실패,,,1443,670.0,2470.0
기아 더 뉴 K5 프레스티지,680.0,201309.0,131541.0,가솔린,,,조회실패,,,613,330.0,920.0
현대 제네시스 DH G330 프리미엄 AWD,1280.0,201510.0,108232.0,가솔린,,,조회실패,,,1180,699.0,2070.0
현대 더 뉴 싼타페 디젤 2.2 4WD,2180.0,202102.0,138888.0,디젤,,,조회실패,,,2759,1111.0,4290.0
현대 그랜저 HG LPG HG300 이그제큐티브,680.0,201211.0,149660.0,LPG(일반인 구입),,,조회실패,,,660,310.0,1030.0
현대 더 뉴 아반떼 (CN7) 1.6,2570.0,202503.0,7075.0,가솔린,,,조회실패,,,2357,384.0,3370.0
쉐보레(GM대우) 트랙스 1.4 LT 래더패키지,380.0,201410.0,178707.0,가솔린,,,조회실패,,,474,280.0,820.0
기아 K5 LPI 프레스티지,630.0,201203.0,163491.0,LPG(일반인 구입),,,조회실패,,,487,250.0,730.0
BMW X3 (G01) xDrive M40i,6850.0,202312.0,45551.0,가솔린,,,조회실패,,,5092,2880.0,9990.0
기아 더 뉴 카니발 4세대 가솔린 7인승 하이리무진,5390.0,202502.0,17272.0,가솔린,,,조회실패,,,4561,2880.0,8772.0
KG모빌리티(쌍용) 올 뉴 렉스턴 디젤 2.2 4WD,2900.0,202209.0,72766.0,디젤,,,조회실패,,,2824,1650.0,3550.0
지프 랭글러 (JL) 2.0 오버랜드 4도어,4890.0,202305.0,42253.0,가솔린,,,조회실패,,,4647,2990.0,6360.0
링컨 코세어 2.0 리저브 AWD,3280.0,202212.0,23210.0,가솔린,,,조회실패,,,2856,2100.0,3280.0
볼보 XC60 2세대 B5 인스크립션,4880.0,202202.0,22102.0,가솔린,,,조회실패,,,4451,2580.0,6690.0
기아 더 뉴 셀토스 가솔린 1.6 터보 2WD,2820.0,202403.0,28986.0,가솔린,,,조회실패,,,2514,1700.0,3850.0
기아 스포티지 5세대 가솔린 1.6 터보 2WD,3050.0,202410.0,26078.0,가솔린,,,조회실패,,,2751,1850.0,9990.0
기아 카니발 4세대 가솔린 11인승 프레스티지,2460.0,202203.0,65929.0,가솔린,,,조회실패,,,2807,1750.0,4140.0
기아 쏘렌토 4세대 디젤 2.2 2WD,3100.0,202009.0,33145.0,디젤,,,조회실패,,,2924,2060.0,3789.0
제네시스 G80 3.3 GDI,2050.0,201704.0,56832.0,가솔린,,,조회실패,,,1818,790.0,2699.0
기아 모하비 더 마스터 디젤 3.0 4WD 6인승,3650.0,202207.0,73693.0,디젤,,,조회실패,,,3797,2599.0,5590.0
BMW 3시리즈 (G20) M340i,4150.0,202107.0,136430.0,가솔린,,,조회실패,,,4371,2300.0,7900.0
현대 더 뉴 그랜저 IG 하이브리드 르블랑,2250.0,202210.0,138238.0,가솔린+전기,,,조회실패,,,2731,1362.0,5555.0
현대 더 뉴 팰리세이드 가솔린 3.8 4WD,3770.0,202412.0,27115.0,가솔린,,,조회실패,,,4014,2680.0,9999.0
기아 카니발 4세대 가솔린 9인승 시그니처,4109.0,202204.0,110844.0,가솔린,,,조회실패,,,2807,1750.0,4140.0
기아 K8 하이브리드 노블레스,3280.0,202401.0,20404.0,가솔린+전기,,,조회실패,,,2817,1990.0,3530.0
기아 더 뉴 기아 레이 시그니처,1700.0,202402.0,7929.0,가솔린,,,조회실패,,,1492,297.0,2050.0
기아 디 올 뉴 니로 프레스티지,2210.0,202202.0,64783.0,가솔린+전기,,,조회실패,,,2571,1399.0,9999.0
기아 더 뉴 셀토스 가솔린 2.0 2WD,2400.0,202307.0,9990.0,가솔린,,,조회실패,,,2514,1700.0,3850.0
현대 더 뉴 그랜저 IG 2.5,2780.0,202202.0,39882.0,가솔린,,,조회실패,,,2436,1590.0,2890.0
제네시스 G80 (RG3) 가솔린 2.5 터보 2WD,4999.0,202205.0,78454.0,가솔린,,,조회실패,,,4504,2890.0,9999.0
기아 K8 2.5 가솔린 2WD,6509.0,202304.0,61176.0,가솔린,,,조회실패,,,2822,1450.0,6509.0
현대 팰리세이드 가솔린 3.8 4WD,4609.0,202202.0,86969.0,가솔린,,,조회실패,,,3059,2050.0,4609.0
기아 쏘렌토 4세대 가솔린 2.5T 4WD,2650.0,202208.0,112114.0,가솔린,,,조회실패,,,2924,2060.0,3789.0
기아 카니발 4세대 9인승 노블레스,3220.0,202212.0,23585.0,디젤,,,조회실패,,,2807,1750.0,4140.0
