제조사,모델명,연료,연식,주행거리(km),시세_평균(만원),시세_최저(만원),시세_최고(만원),사고여부
현대,더 뉴 맥스크루즈 디젤 2.2 2WD,LPG(일반인 구입),201211,149660,660,310,1030,X
현대,그랜저 하이브리드 (GN7) 캘리그래피,LPG(일반인 구입),201203,163491,487,250,730,X
기아,올 뉴 카니발 7인승 리무진,LPG(일반인 구입),201110,146675,498,240,880,X
기아,쏘렌토 4세대 가솔린 2.5T 4WD,LPG(일반인 구입),202007,58132,2044,1369,2480,X
기아,더 뉴 레이 프레스티지,LPG(일반인 구입),202007,58132,2044,1369,2480,X
현대,팰리세이드 가솔린 3.8 4WD,가솔린,202104,95122,4138,3050,9990,X
현대,아이오닉6 롱레인지,가솔린,201111,119713,642,370,950,X
현대,아이오닉 일렉트릭 Q,가솔린,202106,84330,3443,1650,4500,X
현대,더 뉴 팰리세이드 가솔린 3.8 4WD,가솔린,201705,139841,1443,670,2470,X
현대,더 뉴 투싼 (NX4) 가솔린 1.6 터보 2WD,가솔린,201309,131541,613,330,920,X
현대,더 뉴 아반떼 (CN7) 1.6,가솔린,201510,108232,1180,699,2070,X
현대,더 뉴 그랜저 IG 하이브리드 르블랑,가솔린,202503,7075,2357,384,3370,X
현대,더 뉴 그랜저 IG 2.5,가솔린,201410,178707,474,280,820,X
현대,그랜저 하이브리드 (GN7) 익스클루시브,가솔린,202312,45551,5092,2880,9990,X
현대,그랜저 하이브리드 (GN7) 익스클루시브,가솔린,202502,17272,4561,2880,8772,X
현대,그랜저 HG LPG HG300 이그제큐티브,가솔린,202305,42253,4647,2990,6360,X
제네시스,제네시스 G80 3.3 GDI AWD,가솔린,202403,28986,2514,1700,3850,X
제네시스,제네시스 G80 3.3 GDI AWD,가솔린,202410,26078,2751,1850,9990,X
제네시스,제네시스 G80 3.3 GDI,가솔린,202203,65929,2807,1750,4140,X
제네시스,제네시스 G70 3.3T 스포츠 AWD,가솔린,201704,56832,1818,790,2699,X
쉐보레,트랙스 1.4 LT 래더패키지,가솔린,202107,136430,4371,2300,7900,X
쉐보레,올란도 LPG LT,가솔린,202412,27115,4014,2680,9999,X
쉐보레,어메이징 뉴 크루즈 2.0 디젤 LTZ,가솔린,202204,110844,2807,1750,4140,O
쉐보레,더 뉴 스파크 프리미어,가솔린,202402,7929,1492,297,2050,X
벤츠,GLB-클래스 X247 GLB250 4MATIC,가솔린,202202,39882,2436,1590,2890,X
벤츠,GLA-클래스 X156 GLA220,가솔린,202205,78454,4504,2890,9999,X
기아,카니발 4세대 가솔린 9인승 하이리무진,가솔린,202208,112114,2924,2060,3789,X
기아,올 뉴 K7 2.4 GDI 리미티드 에디션,가솔린,201801,80254,1818,790,2699,X
기아,쏘렌토 4세대 디젤 2.2 2WD,가솔린,202007,45422,824,619,1209,X
