제조사,모델명,연료,연식,주행거리(km),시세_평균(만원),시세_최저(만원),시세_최고(만원),사고여부
기아,스포티지 R 가솔린 터보 GDI 2WD TLX,가솔린,202104,95833,2807,1750,4140,O
기아,스포티지 5세대 가솔린 1.6 터보 2WD,가솔린,201701,157856,1300,650,2150,X
기아,셀토스 디젤 1.6 2WD,가솔린,202007,38793,1219,739,1640,X
기아,모하비 더 마스터 디젤 3.0 4WD 6인승,가솔린,202204,26949,1855,1259,2550,X
기아,모닝 어반 (JA) 프레스티지,가솔린,202002,66823,1021,620,1530,X
기아,모닝 어반 (JA) 프레스티지,가솔린,202402,36018,2244,1690,2830,O
기아,디 올 뉴 니로 프레스티지,가솔린,202101,31618,2438,1860,2890,X
기아,더 뉴 카니발 4세대 가솔린 7인승 하이리무진,가솔린,202410,6781,3010,468,9999,O
기아,더 뉴 쏘렌토 디젤 2.0 2WD,가솔린,201207,105175,426,250,589,X
기아,더 뉴 셀토스 가솔린 1.6 터보 2WD,가솔린,201611,55045,536,340,750,X
기아,더 뉴 모닝 럭셔리,가솔린,201203,105492,426,250,589,O
기아,더 뉴 레이 프레스티지,가솔린,202007,45422,824,619,1209,X
기아,더 뉴 레이 시그니처,가솔린,202104,95833,2807,1750,4140,X
기아,더 뉴 레이 밴,가솔린,201701,157856,1300,650,2150,X
기아,더 뉴 레이 밴,가솔린,202007,38793,1219,739,1640,O
기아,더 뉴 레이 밴,가솔린,202204,26949,1855,1259,2550,X
기아,더 뉴 레이 럭셔리,가솔린,202002,66823,1021,620,1530,X
기아,더 뉴 레이 프레스티지,가솔린,202309,21361,1492,297,2050,X
기아,더 뉴 레이 프레스티지,가솔린,201902,99278,2127,1450,2850,X
기아,더 뉴 레이 프레스티지,가솔린,201810,67220,1021,620,1530,X
기아,더 뉴 레이 시그니처,가솔린,202007,97348,1021,620,1530,O
기아,더 뉴 레이 시그니처,가솔린,202010,60812,1021,620,1530,X
기아,더 뉴 K3 2세대 1.6,가솔린,202304,83824,1492,297,2050,X
기아,K8 2.5 가솔린 2WD,가솔린,201701,157856,1300,650,2150,X
기아,K5 하이브리드 3세대 시그니처,가솔린,201711,86733,1818,790,2699,X
기아,K5 LPI 프레스티지,가솔린,201710,83142,1691,860,2350,X
기아,K5 3세대 2.0 LPI(렌터카용),가솔린,202007,38793,1219,739,1640,X
기아,K5 3세대 2.0 LPI(렌터카용),가솔린,202002,66823,1021,620,1530,O
BMW,X3 (G01) xDrive M40i,가솔린,202406,39621,1492,297,2050,X
BMW,5시리즈 (G30) 530e 럭셔리,가솔린,201904,24244,1021,620,1530,O
BMW,3시리즈 (G20) M340i,가솔린,202307,44030,1492,297,2050,X
쉐보레,콜로라도 3.6 익스트림 2WD,가솔린+전기,202210,138238,2731,1362,5555,X
쉐보레,더 뉴 스파크 프리미어,가솔린+전기,202401,20404,2817,1990,3530,X
기아,카니발 4세대 가솔린 9인승 시그니처,가솔린+전기,202011,91528,3686,1990,5700,O
기아,쏘렌토 4세대 디젤 2.2 2WD,가솔린+전기,202107,118076,2271,1740,3150,X
기아,더 뉴 모하비 디젤 3.0 4WD,가솔린+전기,202307,53501,4007,3070,9999,O
기아,더 뉴 K5 프레스티지,가솔린+전기,202303,70742,4007,3070,9999,O
기아,더 뉴 K3 2세대 1.6,가솔린+전기,202302,108547,4007,3070,9999,X
현대,코나 일렉트릭 프리미엄,디젤,202102,95974,2807,1750,4140,X
현대,제네시스 DH G330 프리미엄 AWD,디젤,202302,67335,2796,1890,7777,X
현대,싼타페 TM 디젤 2.0 2WD,디젤,202109,30962,2824,1650,3550,O
현대,더 뉴 싼타페 디젤 2.2 4WD,디젤,202102,138888,2759,1111,4290,O
현대,그랜저 IG 2.4 프리미엄,디젤,202209,72766,2824,1650,3550,X
제네시스,제네시스 G80 (RG3) 가솔린 2.5 터보 2WD,디젤,202009,33145,2924,2060,3789,O
제네시스,제네시스 G70 3.3T 스포츠 AWD,디젤,202207,73693,3797,2599,5590,X
기아,카니발 4세대 가솔린 9인승 하이리무진,디젤,202212,23585,2807,1750,4140,X
기아,올 뉴 모닝 디럭스 스페셜,디젤,201510,146459,396,170,650,X
기아,올 뉴 모닝 디럭스,디젤,201909,139912,1988,1320,2520,X
기아,올 뉴 K7 3.0 LPI 럭셔리 (렌터카),디젤,201912,68798,3889,1900,6150,X
기아,올 뉴 K7 2.4 GDI 리미티드 에디션,디젤,201712,66331,929,590,1190,X
기아,올 뉴 K7 2.4 GDI 리미티드 에디션,디젤,201808,84570,1906,1350,2570,X
기아,모닝 어반 (JA) 프레스티지,디젤,201906,52933,1970,1500,2590,X
기아,더 뉴 셀토스 가솔린 2.0 2WD,디젤,202007,137919,2924,2060,3789,X
기아,더 뉴 모하비 디젤 3.0 4WD,디젤,201703,148192,1601,949,4999,X
기아,더 뉴 레이 프레스티지,디젤,201705,149309,1580,1049,2430,X
기아,K8 하이브리드 노블레스,디젤,201509,85815,1242,599,1800,X
현대,투싼 (NX4) 가솔린 1.6 터보 2WD,전기,201607,132308,1147,890,1650,O
기아,카니발 4세대 가솔린 11인승 프레스티지,전기,201904,69550,1716,1120,2470,X
기아,카니발 4세대 9인승 프레스티지,전기,202209,24932,4218,3180,6690,X
기아,카니발 4세대 9인승 노블레스,전기,202209,23791,3097,37,4000,X
벤츠,GLB-클래스 X247 GLB250 4MATIC,가솔린,202104,95122,4138,3050,9990,X
현대,아이오닉 일렉트릭 Q,전기,201607,132308,1147,890,1650,X
기아,카니발 4세대 9인승 프레스티지,디젤,202102,95974,2807,1750,4140,X
KG모빌리티,더 뉴 렉스턴 스포츠 칸 디젤 2.2 4WD,디젤,202302,67335,2796,1890,7777,X
기아,스포티지 R 가솔린 터보 GDI 2WD TLX,가솔린,201111,119713,642,370,950,X
볼보,XC40 B4 인스크립션,가솔린,202106,84330,3443,1650,4500,X
KG모빌리티,올 뉴 렉스턴 디젤 2.2 4WD,디젤,202109,30962,2824,1650,3550,X
현대,그랜저 IG 2.4 프리미엄,가솔린,201705,139841,1443,670,2470,X
기아,더 뉴 K5 프레스티지,가솔린,201309,131541,613,330,920,O
현대,제네시스 DH G330 프리미엄 AWD,가솔린,201510,108232,1180,699,2070,X
현대,더 뉴 싼타페 디젤 2.2 4WD,디젤,202102,138888,2759,1111,4290,X
현대,그랜저 HG LPG HG300 이그제큐티브,LPG(일반인 구입),201211,149660,660,310,1030,X
현대,더 뉴 아반떼 (CN7) 1.6,가솔린,202503,7075,2357,384,3370,X
쉐보레,트랙스 1.4 LT 래더패키지,가솔린,201410,178707,474,280,820,O
기아,K5 LPI 프레스티지,LPG(일반인 구입),201203,163491,487,250,730,X
BMW,X3 (G01) xDrive M40i,가솔린,202312,45551,5092,2880,9990,X
기아,더 뉴 카니발 4세대 가솔린 7인승 하이리무진,가솔린,202502,17272,4561,2880,8772,X
KG모빌리티,올 뉴 렉스턴 디젤 2.2 4WD,디젤,202209,72766,2824,1650,3550,X
지프,랭글러 (JL) 2.0 오버랜드 4도어,가솔린,202305,42253,4647,2990,6360,X
링컨,코세어 2.0 리저브 AWD,가솔린,202212,23210,2856,2100,3280,X
볼보,XC60 2세대 B5 인스크립션,가솔린,202202,22102,4451,2580,6690,X
기아,더 뉴 셀토스 가솔린 1.6 터보 2WD,가솔린,202403,28986,2514,1700,3850,X
기아,스포티지 5세대 가솔린 1.6 터보 2WD,가솔린,202410,26078,2751,1850,9990,X
기아,카니발 4세대 가솔린 11인승 프레스티지,가솔린,202203,65929,2807,1750,4140,X
기아,쏘렌토 4세대 디젤 2.2 2WD,디젤,202009,33145,2924,2060,3789,X
제네시스,G80 3.3 GDI,가솔린,201704,56832,1818,790,2699,O
기아,모하비 더 마스터 디젤 3.0 4WD 6인승,디젤,202207,73693,3797,2599,5590,X
BMW,3시리즈 (G20) M340i,가솔린,202107,136430,4371,2300,7900,X
현대,더 뉴 그랜저 IG 하이브리드 르블랑,가솔린+전기,202210,138238,2731,1362,5555,X
현대,더 뉴 팰리세이드 가솔린 3.8 4WD,가솔린,202412,27115,4014,2680,9999,X
기아,카니발 4세대 가솔린 9인승 시그니처,가솔린,202204,110844,2807,1750,4140,X
기아,K8 하이브리드 노블레스,가솔린+전기,202401,20404,2817,1990,3530,X
기아,더 뉴 기아 레이 시그니처,가솔린,202402,7929,1492,297,2050,X
기아,디 올 뉴 니로 프레스티지,가솔린+전기,202202,64783,2571,1399,9999,O
기아,더 뉴 셀토스 가솔린 2.0 2WD,가솔린,202307,9990,2514,1700,3850,X
현대,더 뉴 그랜저 IG 2.5,가솔린,202202,39882,2436,1590,2890,X
제네시스,G80 (RG3) 가솔린 2.5 터보 2WD,가솔린,202205,78454,4504,2890,9999,O
기아,K8 2.5 가솔린 2WD,가솔린,202304,61176,2822,1450,6509,X
현대,팰리세이드 가솔린 3.8 4WD,가솔린,202202,86969,3059,2050,4609,O
기아,쏘렌토 4세대 가솔린 2.5T 4WD,가솔린,202208,112114,2924,2060,3789,X
기아,카니발 4세대 9인승 노블레스,디젤,202212,23585,2807,1750,4140,X
BMW,5시리즈 (G30) 530e 럭셔리,가솔린+전기,202011,91528,3686,1990,5700,X
현대,코나 일렉트릭 프리미엄,전기,201904,69550,1716,1120,2470,X
테슬라,모델 Y 퍼포먼스 AWD,전기,202209,24932,4218,3180,6690,X
현대,아이오닉6 롱레인지,전기,202209,23791,3097,37,4000,X
쉐보레,올란도 LPG LT,LPG(일반인 구입),201110,146675,498,240,880,X
쉐보레,어메이징 뉴 크루즈 2.0 디젤 LTZ,디젤,201510,146459,396,170,650,X
기아,셀토스 디젤 1.6 2WD,디젤,201909,139912,1988,1320,2520,X
마세라티,르반떼 3.0 디젤 AWD 그란스포츠,디젤,201912,68798,3889,1900,6150,X
KG모빌리티,더 뉴 코란도 스포츠 2.2 CX7 4WD,디젤,201712,66331,929,590,1190,X
기아,더 뉴 쏘렌토 디젤 2.0 2WD,디젤,201808,84570,1906,1350,2570,O
제네시스,G80 3.3 GDI AWD,가솔린,201801,80254,1818,790,2699,O
기아,K5 하이브리드 3세대 시그니처,가솔린+전기,202107,118076,2271,1740,3150,X
쉐보레,더 뉴 스파크 프리미어,가솔린,202007,45422,824,619,1209,X
기아,K5 3세대 2.0 LPI(렌터카용),LPG(일반인 구입),202007,58132,2044,1369,2480,O
기아,카니발 4세대 가솔린 9인승 하이리무진,가솔린,202104,95833,2807,1750,4140,X
기아,올 뉴 K7 2.4 GDI 리미티드 에디션,가솔린,201701,157856,1300,650,2150,X
기아,모닝 어반 (JA) 프레스티지,가솔린,202007,38793,1219,739,1640,X
기아,더 뉴 K3 2세대 1.6,가솔린,202204,26949,1855,1259,2550,O
기아,더 뉴 레이 밴,가솔린,202002,66823,1021,620,1530,X
KG모빌리티,토레스 가솔린 1.5 2WD,가솔린,202402,36018,2244,1690,2830,X
현대,싼타페 TM 디젤 2.0 2WD,디젤,201906,52933,1970,1500,2590,X
현대,투싼 (NX4) 가솔린 1.6 터보 2WD,가솔린,202101,31618,2438,1860,2890,X
현대,더 뉴 투싼 (NX4) 가솔린 1.6 터보 2WD,가솔린,202410,6781,3010,468,9999,X
기아,올 뉴 모닝 디럭스,가솔린,201207,105175,426,250,589,X
기아,쏘렌토 4세대 디젤 2.2 2WD,디젤,202007,137919,2924,2060,3789,X
기아,더 뉴 모닝 럭셔리,가솔린,201611,55045,536,340,750,X
현대,더 뉴 맥스크루즈 디젤 2.2 2WD,디젤,201703,148192,1601,949,4999,X
현대,그랜저 하이브리드 (GN7) 캘리그래피,가솔린+전기,202307,53501,4007,3070,9999,X
기아,올 뉴 모닝 디럭스 스페셜,가솔린,201203,105492,426,250,589,X
기아,K5 3세대 2.0 LPI(렌터카용),LPG(일반인 구입),202007,58132,2044,1369,2480,X
기아,더 뉴 기아 레이 프레스티지,가솔린,202309,21361,1492,297,2050,O
제네시스,G70 3.3T 스포츠 AWD,가솔린,201902,99278,2127,1450,2850,X
기아,더 뉴 모하비 디젤 3.0 4WD,디젤,201705,149309,1580,1049,2430,X
기아,더 뉴 레이 럭셔리,가솔린,201810,67220,1021,620,1530,X
기아,더 뉴 레이 시그니처,가솔린,202007,97348,1021,620,1530,X
기아,더 뉴 레이 프레스티지,가솔린,202010,60812,1021,620,1530,X
현대,그랜저 하이브리드 (GN7) 익스클루시브,가솔린+전기,202303,70742,4007,3070,9999,O
현대,그랜저 하이브리드 (GN7) 익스클루시브,가솔린+전기,202302,108547,4007,3070,9999,X
기아,더 뉴 기아 레이 프레스티지,가솔린,202304,83824,1492,297,2050,O
기아,올 뉴 카니발 7인승 리무진,디젤,201509,85815,1242,599,1800,X
제네시스,G80 3.3 GDI AWD,가솔린,201711,86733,1818,790,2699,O
벤츠,GLA-클래스 X156 GLA220,가솔린,201710,83142,1691,860,2350,X
기아,더 뉴 기아 레이 프레스티지,가솔린,202309,21361,1492,297,2050,X
기아,올 뉴 K7 3.0 LPI 럭셔리 (렌터카),LPG(일반인 구입),201805,121495,1300,650,2150,O
쉐보레,콜로라도 3.6 익스트림 2WD,가솔린,201911,31226,2299,1650,3333,X
기아,더 뉴 기아 레이 프레스티지,가솔린,202406,39621,1492,297,2050,X
기아,더 뉴 레이 프레스티지,가솔린,201904,24244,1021,620,1530,O
기아,더 뉴 기아 레이 시그니처,가솔린,202307,44030,1492,297,2050,X
르노코리아,SM7 노바 2.5 V6,가솔린,201608,153576,600,229,999,O
기아,올 뉴 카니발 9인승 프레스티지,디젤,201702,145151,1217,668,1949,O
현대,에쿠스(신형) VS380 모던,가솔린,201303,126739,693,340,1220,X
현대,더 뉴 그랜저 IG 3.0 LPi (렌터카용) 프리미엄,LPG(일반인 구입),202207,102088,2314,1350,2910,X
르노코리아,SM6 2.0 GDe LE,가솔린,201604,151026,751,480,1099,X
기아,더 뉴 K7 2.4 GDI 프레스티지,가솔린,201511,67208,699,450,1120,X
기아,K5 3세대 2.0 트렌디,가솔린,202206,106412,2112,1350,3250,O
현대,더 뉴 그랜저 IG 2.5 프리미엄 초이스,가솔린,202104,117022,2314,1350,2910,X
기아,K5 3세대 1.6 터보 시그니처,가솔린,202106,96301,2112,1350,3250,O
BMW,5시리즈 (G30) 520d xDrive M 스포츠 플러스,디젤,201803,132304,3427,1550,9999,X
현대,싼타페 (MX5) 가솔린 2.5T 2WD 익스클루시브,가솔린,202409,27230,3734,2970,4450,X
제네시스,더 뉴 G70 가솔린 2.5T 2WD (세부등급 없음),가솔린,202309,48366,3219,864,4800,O
기아,모하비 더 마스터 디젤 3.0 4WD 5인승 플래티넘,디젤,202004,151937,3549,2230,5490,O
기아,올 뉴 K7 2.4 GDI 리미티드,가솔린,201811,62246,1374,670,9999,O
KG모빌리티,뉴 스타일 코란도 C 2.2 익스트림 스포츠 2WD,디젤,201809,82557,754,450,1070,X
기아,올 뉴 카니발 11인승 럭셔리,디젤,201711,139207,1217,668,1949,X
기아,더 뉴 모하비 디젤 3.0 4WD 프레지던트,디젤,201605,86023,1649,1020,2250,X
기아,더 뉴 카니발 가솔린 9인승 노블레스 스페셜,가솔린,201911,150692,2136,918,9999,X
현대,투싼 (NX4) 디젤 2.0 4WD 모던,디젤,202103,49060,2278,1859,2760,O
벤츠,CLA-클래스 C118 CLA250 4MATIC,가솔린,202310,19420,4324,2750,9999,X
BMW,X4 (G02) xDrive20i M 스포츠 X,가솔린,202104,25949,4979,3250,6550,X
기아,스포티지 4세대 디젤 2.0 2WD 프레스티지,디젤,201608,104943,2209,790,9999,X
랜드로버,레인지로버 스포츠 2세대 P360 HSE 다이나믹,가솔린,202103,48620,3722,1600,6900,X
KG모빌리티,베리 뉴 티볼리 가솔린 1.5 2WD V1,가솔린,202001,77274,1281,860,1590,X
벤츠,E-클래스 W213 E450 4MATIC 익스클루시브,가솔린,202307,45721,3679,1940,7890,X
미니,쿠퍼 컨트리맨 클래식 2세대,가솔린,202112,96653,2715,419,4699,X
기아,더 뉴 K3 2세대 1.6 프레스티지,가솔린,202404,29549,2038,1189,7777,O
기아,모하비 더 마스터 디젤 3.0 4WD 5인승 플래티넘,디젤,202004,151937,3549,2230,5490,X
쉐보레,올 뉴 말리부 1.5 터보 LTZ 프리미엄 세이프티,가솔린,201606,122807,790,339,1299,X
현대,싼타페 (MX5) HEV 1.6 2WD 프레스티지,가솔린+전기,202404,31730,3734,2970,4450,X
기아,스포티지 5세대 가솔린 1.6 터보 2WD 시그니처 그래비티,가솔린,202204,83694,2575,1900,9999,X
BMW,6시리즈 GT (G32) 620d xDrive M 스포츠,디젤,202204,80622,6758,2650,99999,X
지프,그랜드 체로키(WL) L 3.6 오버랜드,가솔린,202112,34896,4423,2090,6499,X
KG모빌리티,토레스 가솔린 1.5 2WD T7,가솔린,202207,54237,2578,1750,9999,X
BMW,X6 (G06) xDrive30d M 스포츠,디젤,202202,80806,8133,5550,12650,O
BMW,4시리즈 (G22) 420i M 스포츠 그란쿠페,가솔린,202407,11199,5121,3300,8490,O
현대,캐스퍼 터보 디 에센셜 라이트,가솔린,202311,28326,1455,890,1899,X
벤츠,C-클래스 W205 C350e,가솔린+전기,201812,51102,2285,990,4800,O
현대,더 뉴 그랜드 스타렉스 리무진,디젤,202010,32684,1667,840,3380,X
BMW,X4 (G02) xDrive20i M 스포츠 X,가솔린,202104,25949,4979,3250,6550,O
BMW,X6 (G06) xDrive30d M 스포츠,디젤,202202,80806,8133,5550,12650,X
BMW,4시리즈 (G22) 420i M 스포츠 그란쿠페,가솔린,202407,11199,5121,3300,8490,X
현대,캐스퍼 터보 디 에센셜 라이트,가솔린,202311,28326,1455,890,1899,O
BMW,3시리즈 (G20) 320i M 스포츠,가솔린,202204,69695,3495,2330,5690,X
제네시스,G80 3.3 GDI AWD 프리미엄 럭셔리,가솔린,201811,65234,1736,690,2590,X
현대,투싼 (NX4) 디젤 2.0 4WD 모던,디젤,202103,49060,2278,1859,2760,X
기아,더 뉴 쏘렌토 디젤 2.2 4WD 마스터 스페셜,디젤,201904,131666,2001,1350,2580,X
기아,더 뉴 셀토스 가솔린 1.6 터보 2WD 그래비티,가솔린,202306,29192,2959,1518,9999,X
링컨,노틸러스 1세대 2.7 202A AWD,가솔린,202012,34621,2557,1620,3750,O
아우디,A4 (B9) 30 TDI 프리미엄,디젤,201807,125032,2710,990,4470,O
폭스바겐,티구안 2세대 2.0 TDI 프레스티지,디젤,202108,122305,3183,1890,4880,X
지프,랭글러 (JL) 2.0 오버랜드 4도어 4xe,가솔린+전기,202112,97538,4527,3090,6990,O
지프,랭글러 (JL) 2.0 오버랜드 4도어 4xe,가솔린+전기,202112,97538,4527,3090,6990,X
현대,더 뉴 그랜저 IG 하이브리드 익스클루시브,가솔린+전기,202001,76478,2606,1640,9999,O
폭스바겐,티구안 2세대 2.0 TDI 프레스티지,디젤,201912,96826,3183,1890,4880,X
벤츠,CLA-클래스 C118 CLA250 4MATIC,가솔린,202212,25243,4324,2750,9999,X
제네시스,GV80 3.5T 가솔린 AWD (세부등급 없음),가솔린,202408,50318,5255,1722,7790,X
기아,스팅어 3.3 터보 AWD GT,가솔린,201812,149546,1921,1390,9999,X
기아,레이 럭셔리,가솔린,201308,111970,615,300,980,X
현대,싼타페 TM 가솔린 2.0T 4WD 인스퍼레이션,가솔린,201809,24785,2087,1590,2750,X
기아,EV6 롱레인지 GT Line,전기,202205,108136,3031,1400,3890,X
기아,더 뉴 스포티지 R 디젤 2WD 프레스티지,디젤,201310,176664,740,520,950,X
기아,K8 2.5 가솔린 2WD 시그니처 스페셜,가솔린,202402,50485,2580,1490,5000,O
현대,캐스퍼 모던,가솔린,202110,81063,1455,890,1899,X
마세라티,그레칼레 2.0 AWD GT,가솔린,202312,7101,7818,6580,9900,X
벤츠,GLB-클래스 X247 GLB220,가솔린,202104,44150,3565,2799,6200,X
기아,더 프레스티지 K7 2.4 GDI 프레스티지,가솔린,201201,132075,471,310,699,X
현대,그랜저 HG HG240 모던,가솔린,201512,49174,669,329,1150,X
폭스바겐,골프 8세대 2.0 GTI,가솔린,202405,14252,3283,2490,3990,X
BMW,5시리즈 (G30) 520d xDrive 럭셔리 플러스,디젤,202009,135000,3427,1550,9999,X
BMW,i3 룩스,전기,201611,98328,2243,449,9999,X
기아,더 뉴 카니발 9인승 노블레스 스페셜,디젤,201906,89310,2136,918,9999,X
제네시스,GV80 3.5T 가솔린 AWD (세부등급 없음),가솔린,202112,98409,5255,1722,7790,X
벤츠,GLE-클래스 W167 GLE400d 4MATIC 쿠페,디젤,202211,26097,8252,5090,18855,X
기아,K5 3세대 2.0 시그니처,가솔린,202009,97409,2112,1350,3250,O
폭스바겐,티구안 2세대 2.0 TDI 프리미엄,디젤,202310,27719,3183,1890,4880,X
BMW,5시리즈 (G30) 530i M 스포츠 플러스,가솔린,201907,55310,3427,1550,9999,O
쉐보레,더 뉴 트랙스 1.4 프리미어,가솔린,201810,66009,868,550,1799,X
벤츠,E-클래스 W213 E250 아방가르드,가솔린,202012,121687,3679,1940,7890,X
기아,카니발 4세대 가솔린 9인승 시그니처,가솔린,202307,30311,3175,1930,4900,X
기아,더 뉴 쏘렌토 디젤 2.2 2WD 노블레스 스페셜,디젤,201710,111674,2001,1350,2580,O
기아,올 뉴 K7 2.4 GDI 리미티드,가솔린,201702,73036,1374,670,9999,X
기아,올 뉴 K7 3.0 GDI 노블레스,가솔린,201906,111551,1374,670,9999,X
현대,쏘나타 (DN8) 2.0 인스퍼레이션,가솔린,201903,96547,1762,1190,2640,X
벤츠,E-클래스 W213 E350 4MATIC AMG Line,가솔린,202112,35874,3679,1940,7890,X
쉐보레,올란도 LPG LT 컨비니언스팩,LPG(일반인 구입),201709,173678,437,210,730,X
BMW,X5 (G05) xDrive 30d M 스포츠,디젤,202102,107477,7464,5099,14200,X
제네시스,G80 (RG3) 가솔린 3.5 터보 AWD (세부등급 없음),가솔린,202007,110720,4526,2800,9999,X
기아,올 뉴 카니발 9인승 프레스티지,디젤,201507,173680,1217,668,1949,X
기아,더 뉴 EV6 롱레인지 4WD 에어,전기,202502,5657,4358,1456,5750,X
볼보,S60 3세대 B5 인스크립션,가솔린,202103,67164,2997,2020,4700,X
미니,쿠퍼 S 컨버터블 클래식 3세대,가솔린,202407,69602,2685,750,4280,X
쉐보레,리얼 뉴 콜로라도 3.6 Z71-X 4WD,가솔린,202202,38192,2607,1995,3590,X
제네시스,G80 (RG3) 가솔린 3.5 터보 AWD (세부등급 없음),가솔린,202211,45083,4526,2800,9999,X
기아,K7 프리미어 2.5 GDI 프레스티지,가솔린,202104,38802,1980,1290,2490,X
현대,싼타페 (MX5) HEV 1.6 2WD 캘리그래피,가솔린+전기,202312,128,3734,2970,4450,X
현대,투싼 (NX4) 디젤 2.0 4WD 모던,디젤,202211,64659,2278,1859,2760,X
기아,더 뉴 기아 레이 그래비티,가솔린,202309,24283,1507,324,1999,X
기아,카니발 4세대 가솔린 7인승 하이리무진 시그니처,가솔린,202102,114798,3175,1930,4900,X
기아,카니발 4세대 가솔린 7인승 하이리무진 시그니처,가솔린,202103,109696,3175,1930,4900,X
기아,더 뉴 K9 5.0 GDI 퀀텀,가솔린,201502,122010,1035,399,1850,X
기아,더 뉴 기아 레이 시그니처,가솔린,202212,20621,1507,324,1999,X
기아,카니발 4세대 가솔린 7인승 노블레스,가솔린,202211,75173,3175,1930,4900,X
현대,투싼 (NX4) 가솔린 1.6 터보 4WD 프리미엄,가솔린,202103,46090,2278,1859,2760,X
기아,쏘렌토 4세대 디젤 2.2 2WD 노블레스,디젤,202106,138796,2821,1789,3790,O
벤츠,E-클래스 W213 E220d 4MATIC AMG Line,디젤,202208,25062,3679,1940,7890,O
BMW,5시리즈 (G60) 530i xDrive M 스포츠,가솔린,202403,63542,6504,3460,8480,O
제네시스,GV70 2.5T 가솔린 AWD (세부등급 없음),가솔린,202203,55166,4308,1392,9999,X
랜드로버,레인지로버 스포츠 2세대 3.0 SDV6 HSE 다이나믹,디젤,201708,130546,3722,1600,6900,X
제네시스,G70 2.0T AWD 스포츠 패키지,가솔린,201808,100317,2149,1520,3099,X
현대,더 뉴 그랜저 IG 2.5 프리미엄 초이스,가솔린,202012,167905,2314,1350,2910,X
기아,모하비 더 마스터 디젤 3.0 4WD 6인승 마스터즈,디젤,202411,11498,3549,2230,5490,O
르노코리아,QM6 가솔린 2WD RE 시그니처,가솔린,201809,81878,1121,750,1399,O
미니,쿠퍼 S JCW 3세대,가솔린,202112,29939,2380,280,3750,O
제네시스,GV80 2.5T 가솔린 AWD (세부등급 없음),가솔린,202108,46485,5255,1722,7790,X
BMW,X6 (G06) xDrive40i M 스포츠,가솔린,202012,50745,8133,5550,12650,X
캐딜락,CT6 3.6 스포츠 플러스 AWD,가솔린,201912,30932,2221,990,4000,X
볼보,V60 크로스컨트리 2세대 B5 프로 AWD,가솔린,202101,105365,4065,2100,9999,O
제네시스,GV70 2.5T 가솔린 2WD (세부등급 없음),가솔린,202103,86252,4308,1392,9999,X
