차량명,가격(만원),연식,연료,변속기,색상,주행거리(km),사고이력,압류,저당,제시구분,주요옵션,시세_평균(만원),시세_최저(만원),시세_최고(만원)
그랜저IG 3.0 GDi  익스클루시브,1350.0,2017.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1350,1350,1350
어매이징 크루즈 4도어 1.4 터보  LT 디럭스팩,490.0,2016.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",490,490,490
더 올뉴투싼 1.6 터보 2WD  프리미엄,2550.0,2023.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1414,870,2550
포터II LPG 슈퍼캡  초장축 스마트,1650.0,2024.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1340,870,1850
신형 K5 하이브리드(DL3) 2.0 HEV  노블레스,2100.0,2021.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",2015,1530,2750
아반떼(CN7) 1.6 가솔린  모던,1700.0,2021.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",0,0,0
더 뉴코란도 스포츠 2.2 4WD  CX7 익스트림,890.0,2018.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1414,870,2550
그랜드스타렉스 5인승 디젤 밴  CVX 럭셔리,1230.0,2016.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1230,1230,1230
뉴쏘렌토 R R2.0 4WD  LX,950.0,2014.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",950,950,950
아반떼AD 1.6 GDi  밸류 플러스,940.0,2018.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",940,940,940
e-마이티 덤프,2500.0,2012.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",2500,2500,2500
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
