"·¹º§01(1)","½ÃÁ¡",ÃÑÇÕ°è,ÃÑÇÕ°è,ÃÑÇÕ°è,ÃÑÇÕ°è
"·¹º§01(1)","½ÃÁ¡",°è,°ü¿ë,ÀÚ°¡¿ë,¿µ¾÷¿ë
"½Â¿ë","2015",16561665,27004,15807517,727144
"½Â¿ë","2016",17338160,27750,16505364,805046
"½Â¿ë","2017",18034540,30705,17121786,882049
"½Â¿ë","2018",18676924,32819,17663188,980917
"½Â¿ë","2019",19177517,33344,18071723,1072450
"½Â¿ë","2020",19860955,33619,18686570,1140766
"½Â¿ë","2021",20410648,34548,19168262,1207838
"½Â¿ë","2022",20952759,35071,19647975,1269713
"½Â¿ë","2023",21390202,35481,20079294,1275427
"½Â¿ë","2024",21771120,36466,20425766,1308888
"½Â¿ë","2025",22038603,37360,20632170,1369073
"½ÂÇÕ","2015",920320,19079,776127,125114
"½ÂÇÕ","2016",892539,20260,746360,125919
"½ÂÇÕ","2017",867522,21556,720188,125778
"½ÂÇÕ","2018",843794,22540,696898,124356
"½ÂÇÕ","2019",811799,23014,663494,125291
"½ÂÇÕ","2020",783842,23938,639504,120400
"½ÂÇÕ","2021",749968,24460,608894,116614
"½ÂÇÕ","2022",723961,24755,583625,115581
"½ÂÇÕ","2023",694574,25009,555119,114446
"½ÂÇÕ","2024",666166,24862,527105,114199
"½ÂÇÕ","2025",633824,24299,495490,114035
"È­¹°","2015",3432937,29052,3020822,383063
"È­¹°","2016",3492173,29834,3072915,389424
"È­¹°","2017",3540323,30813,3118342,391168
"È­¹°","2018",3590939,31957,3152275,406707
"È­¹°","2019",3592586,33072,3143102,416412
"È­¹°","2020",3615245,33391,3156602,425252
"È­¹°","2021",3631975,33800,3159844,438331
"È­¹°","2022",3696317,34587,3211121,450609
"È­¹°","2023",3726400,35318,3225194,465888
"È­¹°","2024",3716743,35531,3211951,469261
"È­¹°","2025",3695232,35925,3187069,472238
"Æ¯¼ö","2015",74963,2422,18103,54438
"Æ¯¼ö","2016",80479,2532,20670,57277
"Æ¯¼ö","2017",85910,2687,23942,59281
"Æ¯¼ö","2018",90898,2784,27212,60902
"Æ¯¼ö","2019",95464,2867,30043,62554
"Æ¯¼ö","2020",105937,3009,39010,63918
"Æ¯¼ö","2021",118510,3141,49733,65636
"Æ¯¼ö","2022",130041,3441,59623,66977
"Æ¯¼ö","2023",138025,3702,66655,67668
"Æ¯¼ö","2024",143890,3876,71804,68210
"Æ¯¼ö","2025",147214,4069,74956,68189
"ÃÑ°è","2015",20989885,77557,19622569,1289759
"ÃÑ°è","2016",21803351,80376,20345309,1377666
"ÃÑ°è","2017",22528295,85761,20984258,1458276
"ÃÑ°è","2018",23202555,90100,21539573,1572882
"ÃÑ°è","2019",23677366,92297,21908362,1676707
"ÃÑ°è","2020",24365979,93957,22521686,1750336
"ÃÑ°è","2021",24911101,95949,22986733,1828419
"ÃÑ°è","2022",25503078,97854,23502344,1902880
"ÃÑ°è","2023",25949201,99510,23926262,1923429
"ÃÑ°è","2024",26297919,100735,24236626,1960558
"ÃÑ°è","2025",26514873,101653,24389685,2023535
